RANK,NAME,ADDRESS,ADDRESS2,CITY,STATE,ZIP,COUNTY,EMPLOYEES,REVENUES,LATITUDE,LONGITUDE,WEBSITE,PROFIT
243,HENRY SCHEIN,135 DURYEA ROAD,NOT AVAILABLE,MELVILLE,NY,11747,NASSAU,21000,11572,40.76804,-73.4179,HTTPS://WWW.HENRYSCHEIN.COM/,506.8
113,DUPONT,1007 MARKET STREET,NOT AVAILABLE,WILMINGTON,DE,19898,NEW CASTLE,46000,24594,39.74627,-75.54817,HTTP://WWW.DUPONT.COM/,2513
482,CHEMOURS,1007 MARKET STREET,NOT AVAILABLE,WILMINGTON,DE,19899,NEW CASTLE,7000,5400,39.74627,-75.54817,HTTPS://WWW.CHEMOURS.COM/,7
424,AMPHENOL,358 HALL AVENUE,NOT AVAILABLE,WALLINGFORD,CT,6492,NEW HAVEN,62000,6286,41.45986,-72.83263,HTTPS://WWW.AMPHENOL.COM/,822.9
262,LEUCADIA NATIONAL,520 MADISON AVENUE,NOT AVAILABLE,NEW YORK,NY,10022,NEW YORK,13000,10875,40.7601,-73.97416,HTTP://WWW.JEFFERIES.COM/,130
459,S&P GLOBAL,55 WATER STREET,NOT AVAILABLE,NEW YORK,NY,10041,NEW YORK,20000,5661,40.7032,-74.00914,HTTPS://WWW.SPGLOBAL.COM/,2106
234,CONSOLIDATED EDISON,4 IRVING PLACE,NOT AVAILABLE,NEW YORK,NY,10003,NEW YORK,14960,12075,40.73403,-73.98852,HTTPS://WWW.CONED.COM/EN,1245
218,GUARDIAN LIFE INS. CO. OF AMERICA,7 HANOVER SQUARE,NOT AVAILABLE,NEW YORK,NY,10004,NEW YORK,8876,12919,40.70403,-74.00964,HTTPS://WWW.GUARDIANLIFE.COM/,263.9
361,ASSURANT,1 CHASE MANHATTAN PLAZA,NOT AVAILABLE,NEW YORK,NY,10005,NEW YORK,14700,7532,40.70809,-74.00935,HTTPS://WWW.ASSURANT.COM/,565.4
14,VERIZON COMMUNICATIONS,1095 AVENUE OF THE AMERICAS,NOT AVAILABLE,NEW YORK,NY,10036,NEW YORK,160900,125980,40.754677,-73.984931,HTTPS://WWW.VERIZON.COM/HOME/VERIZONGLOBALHOME/GHP_LANDING.ASPX,13127
65,NEW YORK LIFE INSURANCE,51 MADISON AVENUE,NOT AVAILABLE,NEW YORK,NY,10010,NEW YORK,11320,40787,40.74324,-73.98606,HTTPS://WWW.NEWYORKLIFE.COM/,1088.1
273,L-3 COMMUNICATIONS,600 3RD AVENUE,NOT AVAILABLE,NEW YORK,NY,10016,NEW YORK,38000,10597,40.74935,-73.97595,HTTPS://WWW.L3T.COM/,710
335,PVH,200 MADISON AVENUE,NOT AVAILABLE,NEW YORK,NY,10016,NEW YORK,26650,8203,40.7488,-73.98239,HTTPS://WWW.PVH.COM/,549
444,AVON PRODUCTS,165 BROADWAY,ONE LIBERTY PLAZA,NEW YORK,NY,10006,NEW YORK,26400,5853,40.710025,-74.010868,HTTPS://WWW.AVON.COM/,-107.6
189,INTL FCSTONE,708 3RD AVENUE,15TH FLOOR,NEW YORK,NY,10017,NEW YORK,1464,14755,40.752557,-73.973738,HTTPS://WWW.INTLFCSTONE.COM/,54.7
21,J.P. MORGAN CHASE,270 PARK AVENUE,NOT AVAILABLE,NEW YORK,NY,10017,NEW YORK,243355,105486,40.75598,-73.97599,HTTPS://WWW.JPMORGANCHASE.COM/,24733
54,PFIZER,235 EAST 42ND STREET,NOT AVAILABLE,NEW YORK,NY,10017,NEW YORK,96500,52824,40.75039,-73.97252,HTTPS://WWW.PFIZER.COM/,7215
104,PHILIP MORRIS INTERNATIONAL,120 PARK AVENUE,NOT AVAILABLE,NEW YORK,NY,10017,NEW YORK,79500,26685,40.75168,-73.97843,HTTPS://WWW.PMI.COM/,6967
80,TIAA,730 3RD AVENUE,SUITE 2A,NEW YORK,NY,10017,NEW YORK,12997,37105,40.75318,-73.97332,HTTPS://WWW.TIAA.ORG/PUBLIC/INDEX.HTML,1492.3
99,TRAVELERS COS.,485 LEXINGTON AVENUE,NOT AVAILABLE,NEW YORK,NY,10017,NEW YORK,30900,27625,40.75408,-73.97349,HTTPS://WWW.TRAVELERS.COM/,3014
193,CBS,51 WEST 52ND STREET,NOT AVAILABLE,NEW YORK,NY,10019,NEW YORK,18410,14386,40.76064,-73.97819,HTTPS://WWW.CBS.COM/,1261
95,TIME WARNER,1 TIME WARNER CENTER,NOT AVAILABLE,NEW YORK,NY,10019,NEW YORK,25000,29318,40.76769,-73.98228,HTTPS://WWW.TIMEWARNERCABLE.COM/EN,3926
300,ALCOA,390 PARK AVENUE,NOT AVAILABLE,NEW YORK,NY,10022,NEW YORK,14000,9318,40.75936,-73.9727,HTTPS://WWW.ALCOA.COM/GLOBAL/EN/HOME.ASP,-400
30,CITIGROUP,399 PARK AVENUE,NOT AVAILABLE,NEW YORK,NY,10022,NEW YORK,219000,82386,40.75901,-73.97153,HTTPS://WWW.CITIGROUP.COM/CITI/,14912
182,COLGATE-PALMOLIVE,300 PARK AVENUE,NOT AVAILABLE,NEW YORK,NY,10022,NEW YORK,36700,15195,40.75705,-73.97471,HTTPS://WWW.COLGATEPALMOLIVE.COM/EN-US,2441
418,HRG GROUP,450 PARK AVENUE,29TH FLOOR,NEW YORK,NY,10022,NEW YORK,16021,6403,40.76131,-73.97128,HTTP://WWW.HRGGROUP.COM/IR-LANDING-PAGE,-198.8
179,OMNICOM GROUP,437 MADISON AVENUE,NOT AVAILABLE,NEW YORK,NY,10022,NEW YORK,78500,15417,40.757353,-73.975244,HTTP://WWW.OMNICOMGROUP.COM/,1148.6
371,RALPH LAUREN,650 MADISON AVENUE,NOT AVAILABLE,NEW YORK,NY,10022,NEW YORK,20500,7405,40.76404,-73.97166,HTTPS://WWW.RALPHLAUREN.COM/,396
428,ALLEGHANY,7 TIMES SQUARE,NOT AVAILABLE,NEW YORK,NY,10036,NEW YORK,3420,6131,40.75569,-73.98649,HTTPS://WWW.ALLEGHANY.COM/HOME/DEFAULT.ASPX,456.9
345,INTERPUBLIC GROUP,1114 AVENUE OF THE AMERICAS,NOT AVAILABLE,NEW YORK,NY,10036,NEW YORK,49800,7847,40.75482,-73.98285,HTTPS://WWW.INTERPUBLIC.COM/,608.5
210,MARSH & MCLENNAN,1166 AVENUE OF THE AMERICAS,NOT AVAILABLE,NEW YORK,NY,10036,NEW YORK,60000,13211,40.75676,-73.98177,HTTP://WWW.MMC.COM/,1768
76,MORGAN STANLEY,1585 BROADWAY,NOT AVAILABLE,NEW YORK,NY,10036,NEW YORK,55311,37949,40.75998,-73.98551,HTTPS://WWW.MORGANSTANLEY.COM/,5979
